sofifa_id,wage_eur_2021
158023,63695.664
20801,75668.24
190871,54381.57
200389,54586.535
183277,76401.375
192985,82668.3
192448,74945.2
203376,55927.863
177003,56886.07
209331,54370.242
231747,50953.527
201024,57422.7
202126,54743.133
212831,63670.008
193080,61595.293
215914,76958.414
138956,45387.008
153079,56729.008
155862,61411.402
176580,68406.87
188545,51379.105
189511,65776.7
194765,64567.4
211110,52569.758
195864,60345.3
210257,59959.48
202652,55547.74
190460,64918.555
192119,56056.76
152729,58929.305
162835,34321.824
167495,45406.7
167948,43501.19
168542,48820.555
179813,54373.582
182493,51379.324
182521,66089.805
188350,40729.55
188567,48161.258
208722,51810.258
212218,72070.055
218667,69974.92
200145,75481.375
200104,53005.977
135507,29529.002
164240,21646.486
165153,40527.805
172871,49368.79
175943,32711.05
178603,45002.07
184087,46592.99
189332,35431.82
189509,31858.082
193041,34219.54
198219,32841.438
222492,46046.367
207865,66272.56
232363,46433.918
199556,39665.555
205600,52656.13
186153,33943.96
212622,53096.992
197781,39766.96
201942,37923.344
168651,21372.607
180206,19206.305
183898,13405.078
184344,31561.209
189242,13089.192
189513,10879.0205
189596,26127.658
192387,13934.8125
193301,20622.812
235243,45941.24
230621,15239.597
228702,54288.8
201535,49540.18
212190,60195.02
223848,35376.77
231866,41076.273
208421,41684.234
209499,41058.934
216267,41807.594
216460,52169.406
220440,43742.39
212198,42889.145
199482,20884.54
185122,21557.04
189117,17522.127
192505,15491.278
192774,29784.611
194404,25229.617
197445,18937.39
201399,21049.379
204963,33598.508
208670,8426.049
41236,7267.191
143076,17830.469
167664,26000.271
170890,38528.867
173731,38052.582
176676,24934.223
177413,16462.182
191043,24837.047
192629,9353.293
193747,13085.856
198710,28176.807
199914,33166.777
233049,41496.586
235790,30570.586
231443,45817.54
206585,24069.254
210514,41909.723
211117,31103.713
220814,47212.664
230658,40422.137
202556,26133.434
209658,37392.387
212194,31925.135
213345,38989.613
206113,20575.156
216594,11722.065
192563,23243.729
198706,27923.191
212462,17386.658
236583,10090.466
198176,16135.761
201995,21697.771
120533,5875.7505
162347,20883.98
167628,18430.07
168435,17783.29
171877,16363.931
172879,31416.445
176266,19875.354
176635,29853.596
177610,25207.99
177683,10801.185
180930,25503.898
181291,27519.414
181458,24723.613
181783,22951.105
181872,47107.457
183907,33370.504
184432,37647.02
185020,21028.225
186942,25559.518
187961,10672.62
188377,32849.617
190286,9648.102
190483,21757.654
197965,13910.909
199434,11571.708
200647,24470.258
204485,23550.67
205678,21621.25
207863,25082.666
226271,24874.012
210413,27142.273
226226,21931.297
231281,38788.797
232432,40216.754
205175,25751.518
211300,29910.752
212523,25601.639
213331,36188.32
219683,39230.074
221087,18587.695
224411,21569.23
226110,29075.943
229237,40195.395
231677,33172.824
203574,30278.02
210008,29415.203
210035,30880.469
212188,29368.057
213565,25198.613
220793,37496.11
220834,28617.94
200458,30963.43
202166,18505.844
204935,21911.318
208418,9534.702
224179,8805.139
192984,10297.007
198717,11305.389
200454,18399.521
201153,20514.479
205693,26598.57
207566,14564.177
212404,19692.36
217940,14008.845
188152,19349.443
188943,8688.97
198141,14155.272
198950,30179.295
199987,9760.489
200949,21327.428
204970,17318.488
205498,25109.037
1179,7690.0103
5479,7382.0625
104389,9790.83
139720,8739.278
157481,23376.834
159261,12675.616
163587,18770.582
167397,16074.163
168609,4378.929
169416,8364.554
170481,13685.892
178005,14110.454
178518,23877.078
178562,19208.842
179844,19254.94
179846,20430.863
179944,18472.406
183574,17303.035
183711,21339.55
184484,19742.482
186561,21462.613
190584,13529.754
190815,11112.647
190941,16641.324
192366,25249.99
193082,24637.014
193474,23889.002
195365,15334.803
198329,4495.6685
199042,19867.652
199451,18638.9
199845,19829.557
200888,10092.133
216354,15157.429
230294,11701.477
230375,11456.873
230481,13401.5
230142,21536.592
229906,23258.152
230666,46499.953
207410,31950.6
208596,23795.24
212151,17431.523
220971,23738.432
223959,22321.756
224293,33249.08
225850,23288.203
225953,13595.918
226753,14218.746
227928,33719.78
193105,17972.096
198009,22717.615
211320,23058.559
214997,11379.519
216201,8701.932
221992,14553.265
227055,14790.455
200726,15667.397
209989,18815.082
211748,19070.771
197061,20524.006
202651,21730.146
204639,15320.801
205452,20620.414
209960,11341.313
210243,23742.607
211256,12228.956
223952,11092.2705
178750,9692.134
189575,8920.74
192318,15308.593
193283,32927.586
193698,14841.46
195093,12372.056
199564,25313.852
200536,14841.758
200610,20886.133
200724,25812.355
201305,12260.393
202562,14593.895
203263,20054.475
203486,19373.13
208448,20653.51
208574,7906.073
216409,16180.021
216547,3462.6484
24630,7088.0215
53302,4767.2793
106231,7637.156
146536,10988.068
146562,5233.582
156519,15555.335
158963,16210.25
164835,13131.916
168354,9724.176
178088,21829.432
178509,21256.27
179645,12739.324
180403,23223.797
181786,7618.029
184200,5536.637
184941,21740.18
184942,12175.37
185103,14642.564
186627,11721.728
187754,8450.489
188803,7506.046
189068,10251.016
189125,11206.282
189505,22023.09
189805,5610.276
190813,9072.831
191740,16687.287
193348,15924.325
193525,6674.9067
197655,10625.541
198951,3632.5276
202371,21014.564
202857,14991.109
207494,18545.768
208808,7971.534
208830,18564.258
215333,15500.887
216475,9231.049
230168,9256.513
230225,4935.39
230258,12509.883
245309,6680.349
245313,8122.665
231478,28489.207
234906,26954.254
235569,33946.227
240130,34972.715
205659,17484.59
221363,13691.251
221660,24475.629
222509,32348.734
226456,19734.012
208333,23023.197
211688,14814.777
236632,14075.145
210406,24431.809
215316,16891.838
199503,27901.805
201400,24891.24
201455,18065.957
204923,10022.148
205988,21549.824
207877,7228.4014
208135,23743.494
226790,23538.47
200316,12464.029
204638,14948.737
206467,5058.4014
207791,16926.01
207807,16003.238
207862,13532.089
209889,20180.066
212814,27842.762
213874,19034.271
216145,15337.2705
216352,22963.445
190544,29196.088
193165,7125.917
199575,12426.936
204120,9917.151
206304,17653.865
208093,7512.6763
223689,13092.572
20775,16815.107
112316,6827.103
138412,20239.459
142707,5503.639
159145,18856.14
162240,11347.036
162895,17439.775
163489,17037.668
165229,12346.4
168530,12006.53
169195,12383.255
171791,7299.5874
171897,15885.96
173771,13920.438
176600,17288.395
177388,17697.11
177600,16562.143
178086,11216.69
179784,8771.473
182494,16752.076
183394,18970.014
183498,12277.789
184134,14547.242
184144,7948.094
184431,19614.34
185221,15598.077
188829,16146.349
191202,21338.812
192638,24284.777
192883,23105.527
194022,14444.805
203551,17608.066
204399,6728.241
207471,11180.834
208618,21537.555
216194,13794.361
224334,12770.5
230271,11903.774
245299,5473.287
245304,15405.828
245305,13538.885
251700,11422.535
242444,24804.387
224232,26885.814
225100,37366.42
213661,25170.383
215698,14943.203
216393,21371.53
229668,20771.428
234153,14276.39
220477,17980.598
222400,19332.775
223113,17763.84
224458,26068.818
226161,19807.035
228618,19332.162
236679,19187.014
239818,17831.307
241671,16172.313
203747,21212.383
204884,23216.842
211591,25077.473
211990,17544.975
212623,11466.478
212692,13595.007
215330,21299.873
219809,23186.984
226168,8361.628
234035,23347.535
239207,16187.51
202648,16006.959
204311,23288.521
207439,27523.365
208920,19432.611
210864,19728.127
211575,23318.312
215785,13311.77
222028,21386.857
223874,16918.082
227950,15816.586
242348,12383.141
193352,19661.186
198784,27217.434
199823,17084.32
201143,11916.741
202477,25528.51
205069,22733.637
205849,11021.64
207599,18946.943
210513,14860.354
210617,19855.58
215223,13045.261
220018,10570.69
225508,22572.424
230977,11964.719
235374,12950.743
188988,28341.934
190778,10683.444
199005,19028.268
199577,11819.255
200155,13395.039
201922,14355.4795
205362,11458.229
208141,10512.194
196978,18670.172
198118,14158.918
203483,14878.015
203605,12223.052
204024,12702.535
204525,12232.734
205070,10724.081
206545,14068.383
208128,22755.404
208498,11915.813
210665,15617.646
219985,21280.111
220407,13935.069
227290,9391.763
45186,4715.7183
54050,11268.716
110677,6733.2173
139068,21529.486
142754,1541.0372
146748,5059.7915
148119,8269.818
153244,20987.965
154472,4473.282
158121,9430.554
159147,8825.437
163155,8496.664
163264,12577.513
163705,9048.894
164029,3835.7812
165109,12856.606
169595,18436.512
170368,19756.709
171579,16415.883
171919,6950.7876
172522,15362.648
173373,18017.61
175379,11417.129
176376,12302.82
176550,11726.445
176930,16078.25
177326,12108.547
177457,21047.621
177458,18712.541
178213,17453.857
178424,13205.3955
179783,14568.935
179847,12951.315
181098,4370.871
182002,12645.024
183900,16816.57
184252,13523.883
184881,19540.773
186345,15859.253
186547,15197.921
187052,12891.89
187072,11866.456
187491,6468.015
187936,17347.441
189271,12898.8955
189362,12494.398
189712,17415.705
189881,20826.646
190547,13428.538
190972,16210.841
192593,8573.253
192641,12486.212
193061,28181.348
193738,21710.213
194879,11689.899
195086,18183.076
196889,18699.13
199110,22957.137
199206,17696.123
199416,10828.524
200260,13094.986
200315,12148.502
201119,7805.6396
201454,17789.426
201956,15186.774
202685,17404.676
203890,15058.658
203895,10572.289
204838,20966.783
205525,24663.418
206413,8182.317
214584,9562.142
215057,9301.837
222943,15178.843
223578,11094.412
227536,14130.341
230234,5230.8877
230347,9766.605
245294,5761.496
245300,6188.18
245308,6317.8433
238794,36878.555
227535,27729.54
233927,25905.615
229880,48247.03
231691,17040.318
237678,27411.357
225193,19265.066
228092,23880.598
228251,25290.225
235805,25742.496
244260,23349.016
213160,13762.807
216388,25287.113
224254,13581.375
226229,21939.424
227796,29601.979
230938,22140.018
235212,19899.557
235424,20809.586
235945,21822.535
238476,19369.828
244369,17600.457
210315,19455.541
213666,21681.145
216435,19663.625
220182,20407.434
222331,23026.111
225663,16184.897
225711,25291.648
226851,23854.36
229167,15473.402
229984,23722.928
232381,26227.652
236792,18273.27
241184,24008.266
205569,24159.008
208330,17819.396
210411,25843.256
212977,19204.998
213655,21500.83
214947,20818.45
220253,14776.293
220651,25620.746
220697,19594.178
228941,18348.52
231943,17267.398
232862,18402.773
233419,18744.02
202335,18254.25
207421,21930.936
210455,20690.787
210896,22514.643
213991,19653.94
216643,19753.27
228336,17771.607
192816,12636.212
199189,18609.102
201377,15175.218
202695,14685.34
203775,14466.981
203841,9413.458
204082,17559.607
204529,18405.178
206511,19513.71
207993,19769.121
210047,16839.025
213516,13854.578
215353,21373.451
221639,24610.555
223597,14911.68
228229,17684.46
192227,18814.746
193601,15656.515
202429,15869.271
202750,18634.816
205923,20756.523
209297,18291.887
218066,14625.953
219693,14466.833
224069,13247.348
229909,10150.0
231969,17042.424
183285,16282.159
185422,15663.608
193408,14589.9795
194222,14003.929
194957,19133.506
197853,18751.174
202884,16110.691
204105,14707.94
204259,18398.678
205407,17859.137
